q1	q2	C_mean	C_upper	C_lower
0.3	0.9	6.92872675542989	6.934252044661113	6.929814486897851
0.3	0.1	6.528644739872016	6.536987138543087	6.525224351404979
0.3	0.4	6.901875284331089	6.914965448035251	6.9020672530251685
0.3	0.8	6.934629404326978	6.947568584817383	6.940837295057566
0.5	0.4	7.076780096215587	7.099254891447788	7.084268206560579
0.5	0.8	7.277144665983295	7.285461293552994	7.281012667363056
0.5	0.9	7.255462735457057	7.266120966705025	7.267766024656134
0.5	0.1	6.568687494984776	6.5712218148456865	6.5757771695132305
0.7	0.9	7.6665239373287175	7.671394163012946	7.677755409729692
0.7	0.1	6.691095264363068	6.695715278758304	6.698695963589894
0.7	0.4	7.307209267191361	7.319155542876988	7.309915616626457
0.7	0.8	7.655660327696361	7.678865113605538	7.6546792664572925
0.9	0.8	8.11018915342699	8.132269579494315	8.101310071501063
0.9	0.4	7.8101801261495805	7.822978763403343	7.8141225637377865
0.9	0.1	7.221403425137213	7.239477221024006	7.23728324015467
0.9	0.9	8.133631010701032	8.142308689216856	8.136934718274563
